"","x"
"1226","AL391069.2"
"1227","ZNF687"
"1228","PI4KB"
"1229","AL391069.4"
"1230","RFX5"
"1231","AL391069.3"
"1232","SELENBP1"
"1233","PSMB4"
"1234","POGZ"
"1235","CGN"
"1236","TUFT1"
"1237","SNX27"
"1238","AL391335.1"
"1239","CELF3"
"1240","RIIAD1"
"1241","MRPL9"
"1242","OAZ3"
"1243","TDRKH"
"1244","TDRKH-AS1"
"1245","AL589765.6"
"1246","C2CD4D"
"1247","THEM4"
"1248","S100A10"
"1249","S100A11"
"1250","TCHH"
"1251","FLG2"
"1252","LCE1E"
"1253","S100A9"
"1254","S100A12"
"1255","S100A8"
"1256","S100A6"
"1257","S100A4"
"1258","S100A3"
"1259","S100A2"
"1260","S100A16"
"1261","S100A14"
"1262","S100A13"
"1263","S100A1"
"1264","AL162258.2"
"1265","CHTOP"
"1266","SNAPIN"
"1267","ILF2"
"1268","NPR1"
"1269","INTS3"
"1270","SLC27A3"
"1271","GATAD2B"
"1272","AL358472.5"
"1273","DENND4B"
"1274","CRTC2"
"1275","SLC39A1"
"1276","AL358472.4"
"1277","AL358472.3"
"1278","CREB3L4"
"1279","JTB"
"1280","AL358472.2"
"1281","RAB13"
"1282","RPS27"
"1283","NUP210L"
"1284","TPM3"
"1285","C1orf43"
"1286","UBAP2L"
"1287","HAX1"
"1288","AQP10"
"1289","ATP8B2"
"1290","IL6R-AS1"
"1291","IL6R"
"1292","SHE"
"1293","UBE2Q1"
"1294","CHRNB2"
"1295","ADAR"
"1296","KCNN3"
"1297","PMVK"
"1298","AL451085.1"
"1299","PBXIP1"
"1300","PYGO2"
"1301","AL451085.2"
"1302","SHC1"
"1303","CKS1B"
"1304","FLAD1"
"1305","ZBTB7B"
"1306","DCST2"
"1307","DCST1-AS1"
"1308","ADAM15"
"1309","EFNA4"
"1310","EFNA3"
"1311","EFNA1"
"1312","SLC50A1"
"1313","DPM3"
"1314","KRTCAP2"
"1315","TRIM46"
"1316","MUC1"
"1317","AC234582.1"
"1318","THBS3"
"1319","MTX1"
"1320","GBA"
"1321","FAM189B"
"1322","SCAMP3"
"1323","CLK2"
"1324","HCN3"
"1325","PKLR"
"1326","FDPS"
"1327","RUSC1-AS1"
"1328","RUSC1"
